logz logzerr logvol nlive logl logwt insert_order
-1.394921662872517629e+02 1.357572294948804714e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -1.339575198371578892e+02 -1.400827341238492068e+02 1.254999999999999893e+00
-1.390513259228768277e+02 1.248480144968658889e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -1.325864799325466379e+02 -1.387141942192379531e+02 2.049999999999999878e-01
-1.381754724435791957e+02 9.007553158139467442e-01 -1.375000000000000666e-01 4.000000000000000000e+02 -1.315406399977923968e+02 -1.376708542844837098e+02 1.080000000000000071e+00
-1.371985183381154627e+02 8.532814265436644563e-01 -1.400000000000000688e-01 4.000000000000000000e+02 -1.312254662567509627e+02 -1.373581805434422733e+02 1.830000000000000071e+00
-1.365820191366011329e+02 9.904588192420205051e-01 -1.425000000000000711e-01 4.000000000000000000e+02 -1.302807754947652370e+02 -1.364159897814565454e+02 1.199999999999999956e+00
-1.358024155105231046e+02 6.037511413348758404e-01 -1.450000000000000733e-01 4.000000000000000000e+02 -1.298184477560546384e+02 -1.359561620427459445e+02 1.650000000000000078e-01
-1.351831897521570056e+02 6.253828725271898259e-01 -1.475000000000000755e-01 4.000000000000000000e+02 -1.284733587686320675e+02 -1.346135730553233714e+02 1.540000000000000036e+00
-1.341652130639324980e+02 7.730358989483524512e-01 -1.500000000000000777e-01 4.000000000000000000e+02 -1.269968866629350686e+02 -1.331396009496263844e+02 3.699999999999999956e-01
-1.328331631887862727e+02 1.067859848411610413e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -1.265281882486651881e+02 -1.326734025353565016e+02 8.649999999999999911e-01
-1.320569486354061155e+02 9.676908311860497047e-01 -1.550000000000000822e-01 4.000000000000000000e+02 -1.252376653216430782e+02 -1.313853796083344037e+02 1.735000000000000098e+00
-1.309726699238421190e+02 1.406319505928622204e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -1.244341403461408788e+02 -1.305843546328322020e+02 1.639999999999999902e+00
-1.300666337483091581e+02 1.437519324872011950e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -1.233595255583206125e+02 -1.295122398450119192e+02 6.800000000000000488e-01
-1.290583526976483881e+02 9.687921411497327773e-01 -1.625000000000000888e-01 4.000000000000000000e+02 -1.227943493771391701e+02 -1.289495636638304745e+02 1.245000000000000107e+00
-1.283093323473929672e+02 8.582381589117253906e-01 -1.650000000000000910e-01 4.000000000000000000e+02 -1.227094015294675273e+02 -1.288671158161588437e+02 4.799999999999999822e-01
-1.278566805372466604e+02 8.043276227169070536e-01 -1.675000000000000933e-01 4.000000000000000000e+02 -1.226410181431406272e+02 -1.288012324298319413e+02 1.385000000000000009e+00
-1.275282017489014379e+02 8.581255957417901481e-01 -1.700000000000000955e-01 4.000000000000000000e+02 -1.220473406233512748e+02 -1.282100549100426008e+02 2.099999999999999922e-01
-1.271189577771549608e+02 5.177037986227349675e-01 -1.725000000000000977e-01 4.000000000000000000e+02 -1.217322352701270205e+02 -1.278974495568183301e+02 3.500000000000000333e-02
-1.267411394021135322e+02 7.879609234731949075e-01 -1.750000000000000999e-01 4.000000000000000000e+02 -1.209810039439314409e+02 -1.271487182306227481e+02 1.600000000000000033e-01
-1.262311587304459266e+02 7.610260006919805642e-01 -1.775000000000001021e-01 4.000000000000000000e+02 -1.205651124000648196e+02 -1.267353266867561388e+02 1.499999999999999944e-02
-1.257586532787487101e+02 7.515769093807340706e-01 -1.800000000000001044e-01 4.000000000000000000e+02 -1.199527339862639366e+02 -1.261254482729552535e+02 7.850000000000000311e-01
-1.252321797113888664e+02 8.994330166740157617e-01 -1.825000000000001066e-01 4.000000000000000000e+02 -1.183426094359313652e+02 -1.245178237226226798e+02 1.929999999999999938e+00
-1.241193783563650470e+02 1.245784712075440614e+00 -1.850000000000001088e-01 4.000000000000000000e+02 -1.179379079488123239e+02 -1.241156222355036363e+02 1.610000000000000098e+00
-1.234243513518199364e+02 1.120184952380173904e+00 -1.875000000000001110e-01 4.000000000000000000e+02 -1.179325301244827102e+02 -1.241127444111740203e+02 1.084999999999999964e+00
-1.230172990240216819e+02 7.356682803238456803e-01 -1.900000000000001132e-01 4.000000000000000000e+02 -1.177499028917041386e+02 -1.239326171783954464e+02 1.364999999999999991e+00
-1.226805488115801097e+02 5.461762049580048961e-01 -1.925000000000001155e-01 4.000000000000000000e+02 -1.136961448022195640e+02 -1.198813590889108696e+02 1.090000000000000080e+00
-1.198222797963990729e+02 1.556216676761790874e+00 -1.950000000000001177e-01 4.000000000000000000e+02 -1.134269358634134193e+02 -1.196146501501047368e+02 2.099999999999999922e-01
